trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-31.314197801969936,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-299.6032465628029,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,6,-135.85800459964474,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-42.49921476536189,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-153.7721209720077,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,2,-60.21121392573444,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,4,-95.33634128306218,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-67.93582908131978,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-184.8146149932139,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-18.451326154551893,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-113.15326000720358,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-118.75097464460245,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-8.692224549323308,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-81.41173424733633,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-8.746929118015029,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-49.71899169789423,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-9.471621346793816,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-98.04394665909771,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-32.349096487715705,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,4,26.13756878910871,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,-20.33346997861037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,9,-21.18487559184737,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-24.915534862614354,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,8,-61.26788315976226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,0,-28.140819653480992,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,10,-37.87136502688236,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,21,-18.415724542702844,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-46.22721751972433,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,11,-28.242346032802722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,7,-21.035036367211397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
