trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",20,0,-99.48653369730407,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-266.20373557464285,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",30,0,-183.47441275522,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-84.05859393506441,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-178.31845360975316,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",30,0,-68.87441611273573,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",35,0,-253.7699035325852,"{0: 19, 1: 2, 2: 8, 3: 3, 4: 3}",0
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-37.39073488880389,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-44.36494013472408,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-85.03192545652003,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",25,0,-163.92289306422637,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-123.85304811182253,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-89.07695555573372,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-44.940832327177986,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",30,0,-223.09961557601778,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 5}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",25,0,-196.0758729936209,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",25,0,-133.63701022909905,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",25,0,-62.871666601292134,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-127.38404637260693,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9048374180359595}",20,0,-250.69414788658298,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 5}",0
21,False,"{'a': 0.005, 'e': 0.9003245225862656}",25,0,-91.17735798838966,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.005, 'e': 0.8958341352965282}",30,0,-251.56305317165737,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
23,False,"{'a': 0.005, 'e': 0.8913661439068313}",25,12,-138.25592390446332,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 3}",1
24,False,"{'a': 0.005, 'e': 0.8869204367171575}",25,8,-96.05961538237959,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
25,False,"{'a': 0.005, 'e': 0.8824969025845955}",25,0,-115.57301372096973,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.005, 'e': 0.8780954309205613}",25,10,-139.4056601957118,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 2}",1
