trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.33155416249886,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.64945888998176,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.32351805964477,"{0: 13, 1: 8, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.45159127097216,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.5656034717257,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.93877267724213,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.67022453247833,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.30577089121445,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.911511659119547,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.94442894594565,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.54303836612591,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.88960139779581,"{0: 15, 1: 1, 2: 11, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.35841560868789,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-237.68939743330023,"{0: 17, 1: 3, 2: 10, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.99947460431085,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.44378991374963,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.90357847930539,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.69954384460363,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.93765042607478,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.52211981884707,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.72984434088663,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.2988258060858,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.47559443458364,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,15,-55.91287632750943,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.96470174574753,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.73254958229275,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.90045014344616,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.28978532000184,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-255.89813070526577,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.99828890164967,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
